#name	beta1	beta2	Ra_ur	Ra_ui	Ra_vr	Ra_vi	Ra_wr	Ra_wi	Ra_cr	Ra_ci	alpha1	alpha2	alpha3	alpha4
exp001	0.1	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0
exp002	0.1	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	10.0	0.0
exp003	0.1	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	100.0	0.0
exp004	0.1	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	10.0	1.0	0.0
exp005	0.1	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	10.0	10.0	0.0
exp006	0.1	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	10.0	100.0	0.0
exp007	0.1	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	100.0	1.0	0.0
exp008	0.1	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	100.0	10.0	0.0
exp009	0.1	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	100.0	100.0	0.0
exp010	0.1	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	10.0	1.0	1.0	0.0
exp011	0.1	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	10.0	1.0	10.0	0.0
exp012	0.1	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	10.0	1.0	100.0	0.0
exp013	0.1	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	10.0	10.0	1.0	0.0
exp014	0.1	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	10.0	10.0	10.0	0.0
exp015	0.1	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	10.0	10.0	100.0	0.0
exp016	0.1	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	10.0	100.0	1.0	0.0
exp017	0.1	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	10.0	100.0	10.0	0.0
exp018	0.1	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	10.0	100.0	100.0	0.0
exp019	0.1	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	100.0	1.0	1.0	0.0
exp020	0.1	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	100.0	1.0	10.0	0.0
exp021	0.1	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	100.0	1.0	100.0	0.0
exp022	0.1	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	100.0	10.0	1.0	0.0
exp023	0.1	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	100.0	10.0	10.0	0.0
exp024	0.1	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	100.0	10.0	100.0	0.0
exp025	0.1	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	100.0	100.0	1.0	0.0
exp026	0.1	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	100.0	100.0	10.0	0.0
exp027	0.1	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	100.0	100.0	100.0	0.0
exp028	0.1	10.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0
exp029	0.1	10.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	10.0	0.0
exp030	0.1	10.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	100.0	0.0
exp031	0.1	10.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	10.0	1.0	0.0
exp032	0.1	10.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	10.0	10.0	0.0
exp033	0.1	10.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	10.0	100.0	0.0
exp034	0.1	10.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	100.0	1.0	0.0
exp035	0.1	10.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	100.0	10.0	0.0
exp036	0.1	10.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	100.0	100.0	0.0
exp037	0.1	10.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	10.0	1.0	1.0	0.0
exp038	0.1	10.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	10.0	1.0	10.0	0.0
exp039	0.1	10.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	10.0	1.0	100.0	0.0
exp040	0.1	10.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	10.0	10.0	1.0	0.0
exp041	0.1	10.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	10.0	10.0	10.0	0.0
exp042	0.1	10.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	10.0	10.0	100.0	0.0
exp043	0.1	10.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	10.0	100.0	1.0	0.0
exp044	0.1	10.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	10.0	100.0	10.0	0.0
exp045	0.1	10.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	10.0	100.0	100.0	0.0
exp046	0.1	10.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	100.0	1.0	1.0	0.0
exp047	0.1	10.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	100.0	1.0	10.0	0.0
